date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Sleep Tranquility Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
7/3/20,82,100,96,73,95,70,22,83,36660,32910,3750,6900,22500,3510,43,90,2730,19560,,2020-07-02T22:08:05-07:00,2020-07-03T08:19:05-07:00,49.94,46,38,-0.03,16.25,82,100,95,43,71,99,100,94,2213,600,1600,1616,165,544,67,7,1,656,1.15625,1,86,70,100,92,54,100,88,91,89
7/4/20,83,82,88,94,96,65,67,98,28620,26100,2520,5760,15840,4500,35,91,180,13680,,2020-07-03T23:15:02-07:00,2020-07-04T07:12:02-07:00,44.22,41,42,-0.34,15.125,80,82,100,43,71,98,100,571,2873,600,10253,10336,497,538,369,34,2,0,1.5,0,89,73,100,0,61,93,92,94,100
7/5/20,89,96,97,86,97,82,70,77,32460,29760,2700,7470,18180,4110,33,92,210,15720,,2020-07-04T23:23:05-07:00,2020-07-05T08:24:05-07:00,47.09,44,36,0.09,15.375,77,81,78,43,71,96,100,188,2398,600,3472,3198,508,553,152,6,0,221,1.25,2,88,88,100,62,50,97,100,93,100
7/6/20,87,87,97,96,96,66,75,98,29820,27090,2730,7410,14520,5160,39,91,360,14400,,2020-07-05T23:02:54-07:00,2020-07-06T07:19:54-07:00,48.65,46,34,-0.14,15.625,71,100,100,25,40,70,100,50,2151,600,979,850,127,580,46,1,0,686,1.125,0,88,83,98,85,57,100,86,93,100
7/7/20,96,100,99,97,100,80,91,100,34500,33060,1440,8700,17880,6480,35,96,720,17130,,2020-07-06T21:47:29-07:00,2020-07-07T07:22:29-07:00,53.82,49,29,0,16.5,79,85,100,43,71,88,100,723,3029,600,11828,13087,483,571,317,65,4,0,1.5625,0,85,100,100,0,68,100,69,90,56
7/8/20,87,97,98,96,95,79,27,100,33600,30210,3390,8160,16320,5730,34,90,2520,17820,,2020-07-07T21:37:37-07:00,2020-07-08T06:57:37-07:00,48.93,44,35,0.02,16.125,71,100,100,25,40,68,100,83,2189,600,1225,1440,122,563,45,8,0,702,1.125,0,86,83,100,54,51,100,96,90,100
7/9/20,89,86,97,98,98,83,67,100,28980,26910,2070,7140,12180,7590,27,93,180,13890,,2020-07-08T21:30:50-07:00,2020-07-09T05:33:50-07:00,47.83,44,40,-0.28,15.25,70,100,100,25,40,63,100,157,2289,650,2637,2790,64,503,98,11,0,764,1.1875,0,91,88,97,0,61,95,96,92,100
7/10/20,87,88,93,89,98,70,78,100,29280,27360,1920,6120,16980,4260,44,93,1350,15000,,2020-07-09T21:27:04-07:00,2020-07-10T05:35:04-07:00,52.61,46,29,0.09,16.625,70,100,100,25,40,62,100,293,2446,500,5017,5642,26,446,131,16,1,820,1.28125,0,80,83,94,0,69,97,79,89,41
7/11/20,89,96,97,85,96,63,81,100,33000,29850,3150,7200,18570,4080,43,90,1320,16560,,2020-07-10T22:07:30-07:00,2020-07-11T07:17:30-07:00,54.73,49,27,-0.06,16.25,69,91,100,25,40,68,100,484,2749,500,9059,8330,414,683,310,30,3,0,1.40625,0,80,88,95,0,75,100,61,86,54
7/12/20,91,100,97,97,100,66,67,100,35520,33900,1620,7530,20370,6000,41,95,180,17520,,2020-07-11T21:29:56-07:00,2020-07-12T07:21:56-07:00,48.76,45,39,-0.35,15.375,70,100,100,25,40,62,100,176,2329,650,3034,2967,89,507,119,12,1,712,1.21875,0,90,93,100,73,68,93,89,88,100
7/13/20,85,81,85,94,93,65,94,100,28980,25710,3270,5550,15690,4470,39,89,1020,14160,,2020-07-12T22:55:29-07:00,2020-07-13T06:58:29-07:00,47,42,36,-0.45,15.375,64,64,78,25,40,73,100,398,2661,600,7030,6866,644,552,202,38,4,0,1.375,2,87,78,95,0,76,90,100,88,73
7/14/20,83,68,74,92,100,91,94,100,23940,22740,1200,4830,13500,4410,31,95,780,12090,,2020-07-13T22:22:48-07:00,2020-07-14T05:01:48-07:00,50.42,46,30,0.35,15.875,60,100,100,1,1,65,100,147,2295,500,2344,2642,72,388,90,10,0,880,1.21875,0,77,73,85,65,71,76,88,87,49
7/15/20,94,96,97,98,99,81,91,100,31680,29640,2040,7470,14910,7260,33,94,1050,16080,,2020-07-14T22:14:53-07:00,2020-07-15T07:02:53-07:00,49.65,45,36,0.02,16.25,59,100,100,1,1,62,100,114,2220,600,1775,2005,84,555,39,15,0,747,1.15625,0,85,100,86,0,80,100,100,88,41
7/16/20,88,82,85,96,98,81,94,100,28140,26010,2130,5550,15270,5190,39,92,1020,14340,,2020-07-15T21:27:53-07:00,2020-07-16T05:16:53-07:00,49.67,46,40,0.29,16.5,56,74,95,1,1,67,100,535,2855,600,9972,9579,561,506,342,29,2,0,1.5,1,87,85,82,0,85,80,86,89,100
7/17/20,92,93,98,96,97,77,91,100,31020,28620,2400,7590,15150,5880,32,92,1050,16050,,2020-07-16T20:24:58-07:00,2020-07-17T05:01:58-07:00,50.14,47,28,0.06,16.5,63,81,95,25,1,69,100,554,2913,500,10139,9878,507,403,389,26,3,112,1.53125,1,83,95,83,63,72,100,78,87,98
7/18/20,83,97,98,67,93,65,51,88,34080,30360,3720,7590,19560,3210,40,89,1950,18090,,2020-07-17T22:21:11-07:00,2020-07-18T07:49:11-07:00,51.74,46,36,0.27,16,65,100,100,25,1,59,100,127,2202,500,2264,2475,30,717,59,6,0,628,1.125,0,79,72,85,67,63,81,86,88,80
7/19/20,91,98,98,97,96,68,70,100,33660,30750,2910,7740,16500,6510,39,91,1560,17220,,2020-07-18T21:42:59-07:00,2020-07-19T07:03:59-07:00,50.25,47,35,0.01,16.25,65,100,100,25,1,59,100,318,2522,600,5809,5725,180,500,192,21,1,546,1.3125,0,88,93,89,0,71,100,86,88,95
7/20/20,86,81,69,95,98,82,91,100,27720,25650,2070,4560,16530,4560,32,93,720,14280,,2020-07-19T22:25:00-07:00,2020-07-20T06:07:00-07:00,51.76,48,28,0.1,16.75,58,66,78,25,1,62,100,344,2603,500,6260,5767,635,546,232,23,4,0,1.34375,2,79,80,84,89,74,96,69,86,63
7/21/20,89,87,97,97,99,81,67,100,28920,27300,1620,7290,13500,6510,37,94,180,14040,,2020-07-20T21:09:41-07:00,2020-07-21T05:11:41-07:00,49.03,43,42,-0.19,15,64,100,100,25,1,54,100,142,2285,500,2435,2550,80,445,100,6,0,809,1.1875,0,84,88,84,69,71,98,88,88,97
7/22/20,93,97,97,84,97,77,99,100,33120,30450,2670,7200,19260,3990,35,92,900,16590,,2020-07-21T21:25:05-07:00,2020-07-22T06:37:05-07:00,49.26,44,33,0.05,15.875,64,100,100,25,1,49,100,116,2234,650,1775,1994,107,526,58,7,3,739,1.15625,0,90,98,87,0,79,100,96,88,89
7/23/20,86,79,85,95,98,73,94,100,27300,25380,1920,5550,15150,4680,39,93,990,13830,,2020-07-22T21:37:02-07:00,2020-07-23T05:12:02-07:00,51.24,45,38,-0.23,16.25,63,68,78,43,1,60,100,517,2841,500,8954,8952,617,460,328,31,4,0,1.5,2,77,80,82,0,84,97,88,89,14
7/24/20,82,76,84,85,93,73,78,100,27600,24510,3090,5490,14970,4050,33,89,1380,14220,,2020-07-23T21:22:18-07:00,2020-07-24T05:02:18-07:00,49.33,46,31,-0.28,15.5,59,68,100,25,1,49,100,4,1932,500,89,76,2,62,3,0,0,0,1.03125,0,76,70,78,61,74,95,88,88,63
